Month,1st,2nd,3rd
01/31/2022,8.03,4.61,0
02/28/2022,10.07,7.20,0
03/31/2022,8.62,7.03,0
04/30/2022,9.37,6.58,0
05/31/2022,9.05,6.66,0
06/30/2022,8.61,7.97,6.63
07/31/2022,10.32,8.28,0
08/31/2022,11.50,8.59,0
09/30/2022,10.48,8.99,0
10/31/2022,12.34,8.67,0
11/30/2022,11.55,10.36,11.81
12/31/2022,14.73,9.68,14.96
01/31/2023,9.46,9.86,7.05
02/28/2023,8.80,9.06,10.61
03/31/2023,10.99,10.83,10.34
04/30/2023,9.32,8.65,11.79
05/31/2023,10.14,9.76,11.04
06/30/2023,10.09,10.25,10.39
07/31/2023,8.38,9.39,9.58
08/31/2023,10.43,9.46,10.07
09/30/2023,10.79,9.99,9.59
10/31/2023,10.92,10.08,9.19
11/30/2023,8.91,8.84,8.86
12/31/2023,9.79,9.14,11.36
01/31/2024,11.53,9.50,12.35
02/29/2024,11.81,10.78,11.02
03/31/2024,11.86,11.31,11.64